Apr,Aug,Average Employment Annual,Average Employment Qtr 1,Average Employment Qtr 2,Average Employment Qtr 3,Average Employment Qtr 4,Average Female Employment Annual,Average Female Employment Qtr 1,Average Female Employment Qtr 2,Average Female Employment Qtr 3,Average Female Employment Qtr 4,Average Wage Annual,Average Wage Qtr 1,Average Wage Qtr 2,Average Wage Qtr 3,Average Wage Qtr 4,County,Dec,Feb,Jan,Jul,Jun,Mar,May,Nov,Number of Establishments Annual,Number of Establishments Qtr 1,Number of Establishments Qtr 2,Number of Establishments Qtr 3,Number of Establishments Qtr 4,Oct,Sep,Total Wages Annual,Total Wages Qtr 1,Total Wages Qtr 2,Total Wages Qtr 3,Total Wages Qtr 4,Type,Year
178381,186349,184319,183648,181649,185691,186288,99465,97479,99195,99149,102035,25745,6202,6338,6296,6903,Vermont,190376,183843,183658,185608,185831,183444,180735,183155,17833,17654,17827,17901,17949,185334,185115,4745297,1138907,1151354,1169069,1285966,Service Providing domain,2000
57018,58282,58109,56971,57673,58156,59634,24245,23337,24260,23880,25504,25421,6168,6347,6236,6659,Vermont,60621,56860,57333,58020,58428,56721,57574,59503,5689,5701,5692,5686,5677,58777,58166,1477206,351406,366049,362635,397115,"Trade, Transportation, and Utilities supersector",2000
9943,10051,9946,9782,9953,10015,10035,2751,2697,2773,2734,2800,38288,9196,9275,9330,10474,Vermont,10093,9770,9780,10045,10012,9795,9904,10039,1216,1220,1216,1209,1219,9973,9950,380817,89949,92318,93440,105110,Wholesale trade,2000
38688,39937,39676,38812,39239,39736,40919,19396,18602,19392,19021,20568,19804,4788,4815,4950,5236,Vermont,41884,38732,39153,39708,39842,38550,39188,40838,3822,3834,3822,3819,3814,40035,39562,785734,185841,188954,196679,214261,Retail trade,2000
6694,6590,6794,6679,6777,6702,7020,1714,1645,1700,1742,1768,30543,6967,8732,7222,7608,Vermont,6978,6664,6699,6551,6859,6673,6778,6989,595,591,599,602,588,7092,6966,207521,46530,59175,48407,53409,Transportation and warehousing,2000
1693,1704,1692,1699,1704,1703,1660,385,393,395,383,368,60971,17117,15024,14159,14660,Vermont,1666,1694,1701,1716,1715,1703,1704,1637,56,56,55,56,56,1677,1688,103132,29087,25602,24108,24336,Utilities,2000
6863,6352,6854,6827,6885,6732,6973,3311,3285,3352,3308,3300,33163,7975,7964,8316,8899,Vermont,7016,6832,6869,6935,6942,6779,6851,6971,480,463,473,482,502,6932,6908,227305,54441,54832,55981,62051,Information supersector,2000
12639,12630,12664,12645,12758,12523,12729,7955,8014,8097,7718,7992,37866,9767,9415,8846,9830,Vermont,12893,12632,12690,12556,12877,12614,12757,12632,1587,1593,1594,1576,1585,12662,12384,479522,123504,120113,110776,125130,Financial Activities supersector,2000
9663,9460,9615,9722,9688,9388,9662,6638,6716,6758,6418,6659,42457,11056,10620,9874,10883,Vermont,9770,9699,9789,9391,9723,9677,9679,9622,899,904,907,893,891,9594,9314,408232,107484,102895,92700,105154,Finance and insurance,2000
2976,3170,3049,2924,3069,3135,3067,1318,1298,1339,1300,1333,23384,5480,5610,5766,6513,Vermont,3123,2933,2901,3165,3154,2937,3078,3010,688,689,687,683,694,3068,3070,71291,16020,17218,18076,19976,Real estate and rental and leasing,2000
20768,21340,20842,19955,21243,21247,20924,9197,9055,9276,9228,9227,33378,7888,7788,8041,9652,Vermont,20906,19872,19709,21354,21768,20285,21192,20772,3319,3234,3307,3350,3386,21095,21048,695671,157416,165442,170844,201969,Professional and Business Services supersector,2000
12261,12330,12282,12123,12262,12313,12431,5808,5838,5797,5753,5843,41937,9668,9889,9947,12399,Vermont,12584,12116,12002,12376,12411,12252,12113,12351,2287,2232,2276,2305,2336,12358,12233,515076,117212,121254,122483,154128,Professional and technical services,2000
316,305,301,263,305,297,338,144,133,140,135,166,42994,11860,10069,10508,10709,Vermont,364,262,251,302,301,276,299,339,27,27,27,26,27,310,285,12934,3119,3075,3124,3616,Management of companies and enterprises,2000
8191,8705,8259,7569,8676,8637,8156,3245,3084,3339,3340,3218,20300,4900,4739,5238,5423,Vermont,7958,7494,7456,8676,9056,7757,8780,8082,1005,975,1004,1019,1023,8427,8530,167661,37085,41114,45237,44225,Administrative and waste services,2000
42610,42282,42823,42521,42498,42550,43722,31987,31610,31473,32101,32762,28088,6765,6885,7029,7398,Vermont,44068,42664,42291,42307,42246,42607,42639,43634,1999,1988,1999,2005,2004,43464,43062,1202807,287632,292599,299104,323472,Education and Health Services supersector,2000
8871,7895,8640,8747,8569,8238,9007,4915,4853,4488,5109,5211,28170,6810,6896,7519,6973,Vermont,9145,8923,8535,7940,8040,8783,8795,8946,261,261,259,261,261,8930,8880,243399,59568,59086,61942,62804,Educational services,2000
33739,34387,34183,33774,33930,34312,34715,27071,26757,26985,26992,27551,28067,6753,6882,6912,7509,Vermont,34923,33741,33756,34367,34206,33824,33844,34688,1739,1727,1740,1744,1743,34534,34182,959408,228065,233513,237163,260668,Health care and social assistance,2000
28618,35161,33009,35064,30480,34227,32267,17497,17079,17283,17617,18007,13842,3326,3324,3456,3740,Vermont,34796,35307,35264,34183,33186,34620,29637,29689,2117,2104,2117,2126,2120,32315,33336,456901,116635,101327,118278,120661,Leisure and Hospitality supersector,2000
2705,4044,3308,2831,3221,4000,3183,1569,1291,1651,1784,1551,17031,3678,3868,3748,5808,Vermont,3144,2798,2907,3918,3727,2787,3230,2783,345,346,344,346,343,3622,4037,56346,10412,12456,14991,18486,"Arts, entertainment, and recreation",2000
25913,31117,29701,32233,27260,30227,29084,15927,15788,15632,15833,16456,13486,3295,3260,3417,3513,Vermont,31652,32509,32357,30265,29459,31833,26407,26906,1772,1758,1773,1780,1777,28693,29299,400555,106222,88870,103287,102176,Accommodation and food services,2000
9865,10302,10018,9665,10111,10255,10040,5273,5099,5454,5297,5243,20552,4953,5043,5017,5535,Vermont,10076,9676,9502,10253,10384,9818,10085,9954,2642,2571,2645,2676,2675,10089,10211,205883,47873,50992,51452,55567,"Other services, except public administration supersector",2000
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Vermont,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Unspecified industry supersector,2000
6380,5888,6064,6063,6499,5940,5753,na,na,na,na,na,40716,10189,9553,10586,10456,Vermont,5839,5722,5653,6250,6204,6813,6914,5703,601,593,594,609,609,5716,5683,246891,61773,62087,62883,60148,Federal Government,2000
14692,14590,14661,14497,14726,14633,14789,7819,7839,7871,7833,7731,33255,7925,8432,7752,9133,Vermont,14592,14461,14389,14437,14770,14642,14716,14862,255,255,255,254,254,14913,14872,487556,114888,124166,113432,135071,State government,2000
27983,19304,26620,28107,28133,21348,28893,18302,18631,17680,17981,18914,25927,6187,7234,6312,6162,Vermont,29107,28169,27777,17187,27600,28375,28817,28997,820,822,821,819,819,28574,27553,690190,173892,203505,134754,178039,Local government,2000
295203,295307,298168,298506,298818,295920,299427,na,na,na,na,na,30239,7459,7516,7352,7909,Vermont,300317,298086,299378,292682,303212,298053,298039,297731,24151,23953,24049,24282,24320,300232,299771,9016194,2226580,2246007,2175520,2368087,Total Covered -  all ownerships,2001
245798,254735,250106,249129,249010,253375,248910,117421,116684,117781,117354,117864,29920,7424,7342,7276,7882,Vermont,249757,248706,250165,254799,253481,248515,247751,247205,22468,22269,22367,22599,22636,249768,250591,7483180,1849472,1828220,1843594,1961894,Private ownership,2001
63094,66073,63918,62290,64770,65843,62770,15961,16024,16288,15978,15555,38568,10138,9336,9194,9935,Vermont,61862,61806,62713,66653,66410,62350,64805,62587,4336,4281,4321,4372,4371,63862,64804,2465171,631511,604705,605360,623596,Goods Producing domain,2001
3060,3532,3187,2796,3266,3514,3171,829,722,933,908,754,24864,6218,5948,5988,6743,Vermont,2990,2741,2778,3515,3425,2870,3313,3154,400,393,397,403,408,3368,3494,79234,17387,19426,21040,21381,Natural Resources and Mining supersector,2001
2151,2511,2256,1963,2326,2500,2233,725,613,825,807,656,20617,5146,4897,5056,5540,Vermont,2106,1945,1943,2504,2455,2001,2372,2211,328,322,324,330,336,2382,2485,46502,10102,11390,12639,12371,"Agriculture, forestry, fishing and hunting",2001
909,1021,931,833,940,1014,938,104,109,108,101,98,35152,8742,8549,8288,9609,Vermont,884,796,835,1011,970,869,941,943,72,71,73,73,72,986,1009,32732,7285,8036,8401,9010,Mining,2001
13824,17208,15218,12903,15335,16998,15636,1705,1554,1773,1749,1745,32800,7994,7865,7942,8978,Vermont,15107,12663,13212,17217,16665,12833,15517,15660,2690,2632,2681,2725,2722,16140,16570,499150,103149,120608,135009,140383,Construction supersector,2001
46210,45333,45514,46591,46168,45331,43964,13427,13748,13582,13321,13056,41455,10967,10065,9912,10505,Vermont,43765,46402,46723,45921,46320,46647,45975,43773,1246,1256,1243,1244,1241,44354,44740,1886788,510975,464670,449311,461832,Manufacturing supersector,2001
34256,33205,33467,34483,34168,33208,32007,9064,9434,9261,8866,8696,44453,11905,10720,10589,11223,Vermont,31887,34334,34482,33754,34179,34634,34070,31866,808,815,807,803,807,32267,32666,1487680,410523,366300,351656,359201,Durable Goods manufacturing,2001
11954,12128,12047,12107,12000,12123,11957,4363,4314,4321,4455,4360,33129,8297,8197,8055,8583,Vermont,11878,12068,12241,12167,12141,12013,11905,11907,438,441,436,441,434,12087,12074,399108,100452,98370,97656,102631,Non-Durable Goods manufacturing,2001
182704,188662,186188,186839,184240,187532,186140,101460,100660,101493,101376,102309,26951,6519,6641,6603,7190,Vermont,187895,186900,187452,188146,187071,186165,182946,184618,18132,17988,18046,18227,18265,185906,185787,5018008,1217961,1223515,1238234,1338298,Service Providing domain,2001
57471,58154,58363,57529,58070,58067,59784,24527,23899,24344,24300,25566,26691,6544,6530,6604,7002,Vermont,60690,57343,58042,58060,58592,57201,58148,59737,5653,5661,5648,5652,5650,58926,57986,1557750,376479,379170,383484,418616,"Trade, Transportation, and Utilities supersector",2001
10076,10062,10074,10027,10035,10070,10165,2809,2788,2779,2793,2877,41187,9784,10141,10018,11232,Vermont,10265,10034,10058,10101,10048,9990,9981,10121,1243,1228,1235,1246,1264,10109,10048,414933,98111,101761,100889,114173,Wholesale trade,2001
39020,40022,39913,39167,39606,39784,41093,19552,18986,19411,19341,20468,20873,5028,5101,5229,5502,Vermont,41905,38979,39587,39863,40045,38936,39754,41112,3783,3800,3794,3778,3761,40261,39468,833087,196922,202040,208016,226109,Retail trade,2001
6749,6397,6722,6704,6786,6546,6854,1788,1749,1773,1790,1840,30176,7739,7266,7398,7767,Vermont,6840,6701,6771,6424,6832,6639,6776,6830,572,577,565,574,572,6891,6816,202845,51882,49307,48426,53230,Transportation and warehousing,2001
1626,1673,1653,1630,1643,1666,1673,379,376,381,376,381,64651,18134,15859,15695,15006,Vermont,1680,1629,1626,1672,1667,1636,1637,1674,54,56,54,54,53,1665,1654,106884,29564,26062,26153,25105,Utilities,2001
6734,6529,6685,6912,6753,6518,6556,3296,3387,3437,3163,3197,35402,8750,8900,8518,9236,Vermont,6573,7001,6927,6549,6793,6809,6731,6584,511,507,509,519,509,6512,6475,236655,60486,60100,55516,60553,Information supersector,2001
12672,13152,12887,12650,12854,13097,12949,8147,8042,8163,8207,8174,39996,10717,9581,9370,10348,Vermont,13053,12627,12616,13116,13079,12707,12811,12871,1572,1577,1571,1576,1562,12922,13023,515448,135576,123160,122720,133992,Financial Activities supersector,2001
9734,9947,9838,9685,9810,9921,9936,6786,6712,6789,6827,6817,44441,12143,10593,10344,11380,Vermont,10039,9674,9634,9931,9918,9746,9777,9913,885,887,881,888,882,9856,9886,437204,117599,103912,102625,113068,Finance and insurance,2001
2938,3205,3049,2965,3044,3176,3013,1360,1330,1374,1380,1357,25658,6062,6323,6328,6945,Vermont,3014,2953,2982,3185,3161,2961,3034,2958,687,690,690,688,680,3066,3137,78244,17977,19248,20095,20924,Real estate and rental and leasing,2001
20727,21421,20778,20307,21228,21255,20324,9184,9173,9353,9236,8974,35543,8355,8671,8536,10006,Vermont,20110,20294,20165,21438,21559,20461,21399,20262,3408,3368,3389,3435,3438,20599,20905,738522,169659,184076,181435,203352,Professional and Business Services supersector,2001
12620,12501,12474,12581,12557,12450,12308,5970,6041,5954,5888,5995,43279,9986,10410,10387,12527,Vermont,12382,12581,12477,12598,12591,12686,12459,12234,2356,2332,2345,2367,2379,12307,12250,539859,125642,130719,129316,154182,Professional and technical services,2001
333,300,314,305,332,297,323,146,146,147,133,157,46977,11993,11795,11706,11492,Vermont,341,300,288,304,321,328,342,334,25,25,25,25,25,295,287,14770,3662,3916,3477,3716,Management of companies and enterprises,2001
7774,8620,7990,7420,8340,8508,7693,3069,2986,3252,3215,2822,23015,5439,5928,5717,5909,Vermont,7387,7413,7400,8536,8647,7447,8598,7694,1027,1011,1019,1043,1034,7997,8368,183893,40356,49441,48642,45455,Administrative and waste services,2001
44062,43628,44273,44019,44094,43995,44986,33319,32801,33178,33287,34009,28941,6867,7119,7234,7710,Vermont,45360,44047,43809,43944,43977,44202,44243,44846,2015,2013,2011,2021,2015,44751,44412,1281300,302290,313927,318257,346826,Education and Health Services supersector,2001
8981,7880,8805,9011,8779,8347,9082,5087,5140,4847,5051,5311,29272,7017,7179,7773,7333,Vermont,9154,9149,8798,8283,8442,9086,8914,9012,264,266,263,263,264,9081,8878,257733,63226,63024,64882,66601,Educational services,2001
35081,35748,35469,35008,35315,35648,35903,28232,27661,28331,28236,28698,28858,6829,7105,7108,7805,Vermont,36206,34898,35011,35661,35535,35116,35329,35834,1751,1747,1748,1758,1751,35670,35534,1023567,239064,250903,253375,280225,Health care and social assistance,2001
31248,35169,32931,35672,31164,34066,30823,17511,18176,17602,17647,16618,14211,3443,3454,3555,3778,Vermont,31385,35864,36152,34413,32667,35001,29577,29561,2118,2103,2120,2125,2122,31522,32617,467991,122804,107638,121093,116456,Leisure and Hospitality supersector,2001
2850,4297,3435,3027,3418,4203,3091,1665,1527,1822,1839,1472,16138,3509,4258,3649,4826,Vermont,2819,3074,2991,4262,3936,3017,3469,2828,344,338,337,349,350,3627,4050,55435,10622,14556,15339,14919,"Arts, entertainment, and recreation",2001
28398,30872,29496,32645,27746,29863,27731,15846,16649,15780,15808,15146,13987,3436,3355,3541,3661,Vermont,28566,32790,33161,30151,28731,31984,26108,26733,1774,1765,1783,1776,1772,27895,28567,412556,112182,93082,105755,101537,Accommodation and food services,2001
9790,10609,10270,9750,10077,10535,10718,5476,5182,5416,5536,5771,21455,5197,5502,5290,5458,Vermont,10724,9724,9741,10626,10404,9784,10037,10757,2856,2759,2798,2899,2969,10674,10369,220343,50668,55444,55729,58502,"Other services, except public administration supersector",2001
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Vermont,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Unspecified industry supersector,2001
5692,5908,5772,5679,5722,5886,5801,na,na,na,na,na,43868,11127,10826,10765,11155,Vermont,5789,5685,5723,5923,5763,5630,5711,5736,609,611,608,609,609,5878,5826,253208,63195,61946,63357,64709,Federal Government,2001
15004,15037,15163,15042,15327,15107,15175,7908,7985,8073,7866,7707,35725,8531,9030,8326,9831,Vermont,14889,15114,14861,15018,15558,15151,15420,15340,254,254,254,254,254,15295,15266,541682,128322,138410,125774,149176,State government,2001
28709,19627,27127,28656,28759,21552,29541,18743,18708,18425,18287,19552,27210,6477,7561,6625,6510,Vermont,29882,28581,28629,16942,28410,28757,29157,29450,820,819,820,820,821,29291,28088,738124,185590,217431,142794,192308,Local government,2001
292624,293167,295443,294715,296036,293407,297614,na,na,na,na,na,31041,7631,7665,7564,8177,Vermont,299908,294224,295784,289625,300473,294138,295012,295188,23776,23508,23738,23959,23900,297745,297428,9170973,2249020,2269068,2219400,2433484,Total Covered -  all ownerships,2002
241839,251513,246527,244657,245483,249997,245970,116605,115559,116879,116420,117563,30613,7574,7436,7474,8132,Vermont,248279,244038,246129,250926,250048,243805,244561,243342,22105,21843,22074,22282,22220,246289,247551,7547028,1852950,1825526,1868375,2000176,Private ownership,2002
58182,60330,58576,57476,59614,59922,57290,14374,14651,14667,14245,13933,39455,10205,9416,9621,10243,Vermont,56088,57015,58352,60575,60808,57061,59853,57336,4458,4366,4451,4518,4495,58447,58862,2311120,586519,561307,576488,586807,Goods Producing domain,2002
2922,3327,2985,2579,3162,3305,2894,735,622,878,810,631,26140,6813,6178,6364,6872,Vermont,2745,2531,2543,3369,3364,2663,3200,2869,419,416,421,419,418,3068,3218,78026,17572,19536,21030,19888,Natural Resources and Mining supersector,2002
2076,2439,2156,1851,2281,2416,2077,646,539,793,710,541,21176,5519,4970,5223,5531,Vermont,1972,1821,1840,2475,2454,1891,2314,2036,349,345,352,350,350,2223,2334,45661,10214,11339,12619,11489,"Agriculture, forestry, fishing and hunting",2002
846,888,829,728,881,889,817,90,83,85,100,90,39056,10102,9307,9465,10281,Vermont,773,710,703,894,910,772,886,833,69,71,69,69,68,845,884,32365,7358,8196,8411,8400,Mining,2002
14007,16472,14894,13080,15110,16274,15113,1694,1601,1749,1747,1680,32821,8068,7748,7942,9065,Vermont,14271,12922,13462,16396,15964,12857,15358,15277,2797,2707,2791,2851,2840,15791,15953,488836,105526,117066,129248,136996,Construction supersector,2002
41253,40531,40697,41817,41343,40344,39283,11945,12428,12040,11688,11622,42860,11082,10273,10564,10944,Vermont,39072,41562,42347,40810,41480,41541,41295,39190,1242,1243,1239,1248,1237,39588,39691,1744258,463421,424705,426210,429922,Manufacturing supersector,2002
30109,29123,29388,30464,30065,29001,28022,7886,8355,8003,7604,7582,46324,11996,11002,11479,11857,Vermont,27942,30238,30923,29537,29973,30231,30112,27976,812,814,812,815,806,28149,28344,1361375,365443,330759,332915,332258,Durable Goods manufacturing,2002
11144,11408,11309,11353,11278,11343,11261,4059,4073,4037,4084,4040,33858,8630,8330,8225,8673,Vermont,11130,11324,11424,11273,11507,11310,11183,11214,430,429,427,433,431,11439,11347,382883,97979,93946,93294,97664,Non-Durable Goods manufacturing,2002
183657,191183,187951,187181,185868,190074,188680,102231,100908,102212,102175,103630,27858,6766,6802,6797,7491,Vermont,192191,187023,187777,190351,189240,186744,184708,186006,17647,17477,17623,17764,17725,187842,188689,5235908,1266431,1264219,1291888,1413370,Service Providing domain,2002
57800,59029,58615,57772,58362,58793,59532,24282,23718,24317,24293,24800,27690,6785,6731,6847,7318,Vermont,60257,57553,58199,58864,58980,57563,58305,59421,5652,5640,5655,5671,5640,58917,58486,1623053,391988,392855,402541,435670,"Trade, Transportation, and Utilities supersector",2002
10053,10097,10028,9943,10033,10088,10049,2781,2794,2730,2752,2849,42756,10547,10400,10204,11604,Vermont,10105,9900,9960,10087,10045,9968,10002,10047,1303,1285,1313,1312,1300,9996,10081,428770,104863,104345,102946,116616,Wholesale trade,2002
39287,40688,40104,39441,39800,40377,40799,19291,18757,19370,19311,19727,21612,5221,5257,5378,5747,Vermont,41474,39280,39777,40612,40334,39266,39778,40711,3726,3733,3723,3723,3725,40213,39831,866742,205913,209221,217132,234477,Retail trade,2002
6766,6513,6772,6706,6819,6598,6965,1808,1759,1825,1819,1829,30601,7285,7424,7999,7893,Vermont,6963,6689,6784,6425,6869,6645,6823,6942,572,571,569,583,564,6991,6855,207232,48853,50625,52774,54980,Transportation and warehousing,2002
1694,1731,1710,1682,1709,1730,1718,402,408,392,411,395,70366,19238,16769,17161,17231,Vermont,1715,1684,1678,1740,1732,1684,1702,1721,51,51,50,53,51,1717,1719,120308,32359,28663,29688,29597,Utilities,2002
6698,6729,6653,6657,6700,6709,6547,3328,3351,3371,3320,3269,35786,8811,8889,8658,9438,Vermont,6604,6638,6636,6767,6713,6697,6690,6585,517,514,520,517,515,6453,6630,238095,58657,59561,58085,61792,Information supersector,2002
12684,13199,12904,12741,12830,13109,12935,8079,8094,8092,8045,8085,41590,10902,10058,9524,11122,Vermont,12985,12739,12742,13180,12966,12741,12840,12828,1602,1575,1593,1619,1619,12991,12949,536670,138905,129046,124855,143864,Financial Activities supersector,2002
9739,9941,9834,9798,9755,9886,9898,6696,6730,6689,6656,6709,46172,12222,11178,10531,12242,Vermont,9962,9796,9790,9892,9754,9808,9772,9867,907,893,900,917,917,9866,9825,454068,119753,109037,104107,121171,Finance and insurance,2002
2945,3258,3069,2943,3075,3223,3036,1383,1364,1403,1389,1376,26912,6508,6507,6437,7474,Vermont,3023,2943,2952,3288,3212,2933,3068,2961,695,682,693,702,702,3125,3124,82602,19152,20009,20748,22693,Real estate and rental and leasing,2002
20126,21146,20376,19225,20566,21134,20578,9047,8817,9055,9142,9174,36494,8835,8514,8744,10392,Vermont,20325,19171,19193,20947,20920,19312,20651,20482,3478,3397,3448,3532,3536,20926,21309,743585,169859,175095,184795,213836,Professional and Business Services supersector,2002
12340,12538,12318,12101,12315,12528,12330,6052,6026,5964,6023,6193,43907,10383,10284,10366,12872,Vermont,12523,12081,12023,12535,12342,12200,12262,12320,2398,2349,2373,2433,2436,12146,12512,540868,125648,126644,129871,158705,Professional and technical services,2002
321,289,306,293,322,291,317,134,133,135,121,148,57565,17190,11897,15872,12979,Vermont,329,286,287,302,311,305,333,336,23,26,24,22,21,286,282,17591,5031,3827,4619,4114,Management of companies and enterprises,2002
7465,8319,7752,6831,7929,8315,7931,2861,2658,2956,2998,2833,23882,5735,5628,6050,6433,Vermont,7473,6804,6883,8110,8267,6807,8056,7826,1057,1022,1051,1077,1079,8494,8515,185126,39180,44624,50306,51016,Administrative and waste services,2002
46555,46281,46850,46301,46704,46618,47775,35208,34754,34973,35267,35839,29774,7126,7376,7335,7924,Vermont,48063,46202,46142,46440,46622,46560,46936,47820,2052,2029,2040,2063,2076,47442,47134,1394888,329927,344475,341940,378546,Education and Health Services supersector,2002
9155,7864,8892,9118,8920,8348,9183,5100,5098,4872,5155,5273,30043,7087,7562,7692,7718,Vermont,9301,9190,9006,8170,8544,9157,9061,9135,280,273,276,283,289,9114,9011,267156,64617,67450,64216,70873,Educational services,2002
37400,38417,37957,37184,37784,38270,38592,30109,29656,30101,30112,30566,29710,7135,7332,7257,7973,Vermont,38762,37012,37136,38270,38078,37403,37875,38685,1772,1756,1764,1780,1787,38328,38123,1127732,265311,277025,277723,307673,Health care and social assistance,2002
30421,35045,33059,35230,31125,34010,31872,17439,17497,17436,17218,17606,14689,3580,3522,3704,3887,Vermont,34503,35512,35597,34338,33129,34580,29826,29508,2152,2129,2142,2169,2168,31606,32646,485623,126121,109620,125981,123900,Leisure and Hospitality supersector,2002
3051,4469,3641,3064,3753,4428,3321,1784,1528,1997,1979,1631,15724,3793,3872,3792,4311,Vermont,3221,3104,3063,4529,4425,3025,3783,2987,364,356,362,368,371,3756,4285,57260,11621,14532,16790,14317,"Arts, entertainment, and recreation",2002
27370,30576,29418,32166,27372,29582,28551,15656,15969,15439,15239,15975,14561,3560,3474,3691,3838,Vermont,31282,32408,32534,29809,28704,31555,26043,26521,1788,1773,1780,1801,1797,27850,28361,428362,114500,95088,109191,109583,Accommodation and food services,2002
9373,9754,9495,9256,9581,9701,9441,4848,4677,4968,4890,4857,22538,5507,5591,5534,5906,Vermont,9454,9208,9268,9815,9910,9291,9460,9362,2196,2193,2225,2193,2171,9507,9535,213994,50973,53567,53691,55762,"Other services, except public administration supersector",2002
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Vermont,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Unspecified industry supersector,2002
5743,6061,5930,5690,5794,6010,6226,na,na,na,na,na,46201,11604,11527,11346,11718,Vermont,6322,5666,5704,5898,5878,5699,5762,6224,592,585,585,598,601,6132,6071,273970,66025,66793,68192,72959,Federal Government,2002
15235,14938,15028,14946,14921,15026,15217,7514,7724,7355,7324,7651,38072,9071,9881,8787,10323,Vermont,14943,15076,14559,14881,14906,15203,14621,15286,254,255,254,254,254,15423,15260,572133,135574,147436,132033,157090,State government,2002
29807,20655,27959,29422,29839,22374,30200,19211,19403,19240,18439,19762,27821,6610,7685,6740,6730,Vermont,30364,29444,29392,17920,29641,29431,30068,30336,825,825,825,825,825,29901,28546,777842,194471,229313,150799,203259,Local government,2002
288949,292208,294288,292459,293518,292933,298243,na,na,na,na,na,32090,7784,7907,7793,8595,Vermont,301000,292534,293060,289020,298477,291784,293128,295937,23972,23761,23968,24074,24085,297792,297572,9443639,2276496,2320959,2282694,2563491,Total Covered -  all ownerships,2003
